Link,Title,Location,Salary,Summary
https://kr.indeed.com/jobs?q=ac9068957c550cb3,데이터 전문가(모델러/분석가/엔지니어) 모집,성남 판교역,,대용량 데이터를 효율적으로 사용하기 위한 기반 데이터 가공 지원자격 데이터 사이언스를 위한 언어(R/ Python/Scala) 및 도구(scikit-learn/Spark MLlib/Tensorflow/Pytorch 등)를...
https://kr.indeed.com/jobs?q=43894f19dad2b694,"Strategic Cloud Engineer, Infrastructure, Google Cloud Profe...",서울,,"writing software in one or more languages (e.g., Java, Python, etc.). Preferred qualifications: Experience with cluster..."
https://kr.indeed.com/jobs?q=df21e3bb5d773616,Python Programmer,서울 서초구,,개발 – JAVA 프로그래밍(라이브러리 활용) – Spring 프레임 워크 개발 – Python API 프로그래밍 우대사항 – Python 개발 경험 – Open Source 라이브러리 개발경험 – Web 표준에 대한 경험...
https://kr.indeed.com/jobs?q=4e069b1aa5d4a15a,"Principal, Industrial Engineering (Process Innovation)",서울,,"Intermediate to advanced skills in SQL, VBA. Knowledge... least one programming language: Python, R, Java or any other."
https://kr.indeed.com/jobs?q=a50fce6cc2cb57c9,자연어처리전문가 금융챗봇 만들어 갈 엔지니어,서울 충정로역,,리에 필요한 알고리즘을 개발하고 Python으로 구현 및 성능 검증을 진행... Description - 자연어 처리에 필요한 알고리즘을 개발하고 Python으로 구현 및 성능 검증을 진행 - 자연어 전처리 (형태소 분석...
https://kr.indeed.com/jobs?q=35869b81b2eb4594,﻿[Synopsys Korea] Training & Hiring Program,서울 노원구,,"수 있는 의사소통능력 우대사항 EDA Tool 개발 및 사용 경험이 있으신 분 스크립트 언어(bash, Python, TCL, Perl)를 다뤄본 경험이 있으신 분 AI & ML 분야에 관련한 깊은 경험 및 심화 지식이..."
https://kr.indeed.com/jobs?q=c79d93526636e256,"Senior Data Scientist (Machine Learning, 반도체산업)",서울,,"Project management experience Programming skills, e.g. Python, R, Java, C++ Comfortable reporting results to both technical..."
https://kr.indeed.com/jobs?q=6d15c3420e935aea,AI 분야 경력,서울,,"이상 (AI 관련 논문 발표) ② AI/딥러닝 알고리즘 연구개발 프로젝트 경험 ③ Ubuntu Linux, Python, Tensorflow, PyTorch 사용 중상급 이상 우대사항(해당 내용 중 1개 이상) ① AI/머신..."
https://kr.indeed.com/jobs?q=2f56d4b70c1df086,하반기 인턴직 모집,서울 을지로2가,,"지니어 (IT 인프라 관리/운영) 서버, 네트워크 Bash, Java, Python ① 학력 : 초대졸 이상 (2020년 2월 이후 졸업/졸업예정... JavaScript, VC++, Python) 한솔 PNS IT 부문..."
https://kr.indeed.com/jobs?q=ba6a0ebb6ad9cd18,IT 인프라 운영 도구 개발,성남 판교역,,"모니터링 시스템 Web 개발 - 경력 4년 이상 - Linux 환경(LAMP) 경력 3년 이상 - Python, Django, Javascript, PHP 경험 - 다양한 Front-end 프레임 워크 사용 경험..."
